,Day,WLM Error,Elo Error,Dim Error,MOV Error,DimV Error
0,10,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453
1,11,0.6931471805599453,0.64960068405897,0.64960068405897,0.64960068405897,0.64960068405897
2,12,0.6931471805599453,0.6139313953766266,0.6130952633121218,0.6152848878692418,0.6158016948800357
3,13,0.6931471805599453,0.5992389084281672,0.5986416712392353,0.6002056887800352,0.6005748366448881
4,14,0.693147180559945,0.5830635287031118,0.5850946077327392,0.5839277175109826,0.5867390746449935
5,15,0.666116173352734,0.5572868976585151,0.5494131715952538,0.5584143210726303,0.5542548937591832
6,16,0.6678056113031847,0.5494482291519885,0.5420666109676813,0.5518681966787015,0.5493139952525785
7,17,0.6692962918477,0.551544842467672,0.5465764492021793,0.5538058511372682,0.5526778103766177
8,18,0.6852910466441723,0.5867869933244774,0.5843853855944526,0.5854802708261714,0.5829252221121035
9,19,0.6809275778254852,0.600528572659522,0.5964866340615239,0.5965808914282813,0.5905431899901121
10,20,0.6938970331688223,0.5922745836792354,0.5908967669107025,0.5877095880676919,0.5827416699424673
11,21,1.2262518873658315,0.5895838416794165,0.5899838276279136,0.5828221971848693,0.577555308554004
12,22,1.4945816427734777,0.5953304882991288,0.6030417543030372,0.5895759630333197,0.5895974896765954
13,23,1.7903822412929107,0.5946723162229245,0.6074505243438149,0.5914353572957715,0.5970364942551301
14,24,1.7770921349488016,0.5951322949513064,0.6085612977541749,0.5920511051837432,0.5981384514034511
15,25,1.7051306325417621,0.5959928308701352,0.6056841388834389,0.5923088236958707,0.5954967323605955
16,26,1.6147214626128,0.5961292470929379,0.6027958154533336,0.5913581466696867,0.5916553073800374
17,27,1.570740388891205,0.5979928711328742,0.6044136096444348,0.5934793083800182,0.5937445568378538
18,28,1.5035254644653697,0.5944137073418445,0.5995328612296613,0.5890307330929047,0.5876386485931071
19,29,1.4873445249366404,0.5975087763832846,0.6034057048219379,0.5916736847921904,0.5910568282446695
20,30,1.477963296539938,0.5951050971185843,0.6002724183151245,0.5892695704238462,0.5886340976960938
21,31,1.4564717549746902,0.5967003994077861,0.6033979089747231,0.5898893535267213,0.589873518138132
22,32,1.4327949702308946,0.5948994210599774,0.6011906786252227,0.5871290855011725,0.5867259441140108
23,33,1.3953283752075882,0.5927042876377344,0.5958672798477295,0.584267035914321,0.5814771101618018
24,34,1.3829851219749179,0.593721438835628,0.5982478894117493,0.5849467627615034,0.5830982028016213
25,35,1.367894762009411,0.5908315059329217,0.594556340918617,0.5817426346034177,0.5785996305667347
26,36,1.3441772749783336,0.5898585646176927,0.5943074457127642,0.5807634438348217,0.5777548548307813
27,37,1.3229144133908894,0.5890247418061162,0.5934164160055645,0.5793614637742286,0.5767261849515459
28,38,1.315192142730333,0.5874535508459635,0.5916310043735692,0.5776603001647337,0.5746670266097726
29,39,1.3112817809467863,0.5877801203960453,0.5919097310541064,0.5779469617576565,0.5746193390274972
30,40,1.28195672219787,0.5882400484147275,0.5931308009077102,0.5787846736923432,0.5766587459200626
31,41,1.2701602161640837,0.5888140618822075,0.594675321555693,0.5799135043495253,0.5790583224903396
32,42,1.2614835815783512,0.5878864639023262,0.5942859396872442,0.5789888638947256,0.5784906148905207
33,43,1.2405976001088415,0.5852137054087146,0.5907175703675823,0.5758685967234071,0.5748845631469779
34,44,1.2175381497007352,0.5813130246869636,0.5853339103580734,0.5716868567660243,0.5694622524623232
35,45,1.20529038298949,0.5814405399811614,0.5858540056773971,0.5716607924500108,0.5697394546460681
36,46,1.18886317548032,0.5790701381476903,0.5829670083072749,0.5687520378883781,0.5664717198146804
37,47,1.1481520070044566,0.579404454258857,0.5843226052690458,0.5688750783930419,0.5672428026715745
38,48,1.1357936994169917,0.5773797298205102,0.5823104633204762,0.5668077348461559,0.5655136776845304
39,49,1.1233545322817164,0.577845104557866,0.5841943548926382,0.5668599086798956,0.5664847583649428
40,53,1.1141371309497237,0.579274755363834,0.5857387079074322,0.5678710850806623,0.56796218773952
41,54,1.0798700497757228,0.5777569411061815,0.5852011467022468,0.5661027743232467,0.5672680280331481
42,55,1.0673050345958488,0.576273462499001,0.5829481212088385,0.564698395698172,0.5654781358399652
43,56,1.0415052652900951,0.5710132187409197,0.575962398442226,0.5587941161527515,0.5581379800170062
44,57,1.0344655259536295,0.5687204943725652,0.5729445626621007,0.5566499734960547,0.5555513684727164
45,58,1.032504372255849,0.5676948166007234,0.5721360008850924,0.5556812310050468,0.5545577295621098
46,59,1.0135343276448368,0.5653577550543257,0.5692477703533817,0.5526844461558881,0.5507059769635615
47,60,1.0122750211017444,0.5658196429467879,0.5698432052194788,0.5531742028250781,0.5513947409296004
48,61,0.9829756808741111,0.5635681793407112,0.5674467323179638,0.5502342257360988,0.5469910359045619
49,62,0.9806204368047053,0.5638291458478695,0.5678722403609295,0.5505897437345886,0.5478068392367286
50,63,0.9741489764293798,0.5640891901896216,0.5678557515477941,0.5508826866535054,0.5475813140176871
